"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000109063.15","ENSG00000109063.15",0.708279950935356,2.03049570101196,0.00566910638786097,"163","234","0.492490577301699",0.581591010733453,0.0285290881978078,"ENSG00000109063","MYH3","myosin heavy chain 3"
"ENSG00000197157.11","ENSG00000197157.11",-0.470400034037475,0.624752296103912,0.0416926150719704,"179","218","1.6006343733928",0.550061493738819,0.0316861817226953,"ENSG00000197157","SND1","staphylococcal nuclease and tudor domain containing 1"
"ENSG00000115648.14","ENSG00000115648.14",-1.15554982055379,0.314884359406635,0.000433718326826232,"32","365","3.17576904068653",0.572506708407871,0.0261001790719842,"ENSG00000115648","MLPH","melanophilin"
"ENSG00000101160.14","ENSG00000101160.14",0.897031233361883,2.45231195172807,9.17526185894499e-05,"278","119","0.407778463623003",0.620611583184258,0.0310717736701919,"ENSG00000101160","CTSZ","cathepsin Z"
"ENSG00000184897.6","ENSG00000184897.6",0.710706540740987,2.03542886414142,0.00732141844659504,"334","63","0.49129695349084",0.569571779964222,0.0285265712313555,"ENSG00000184897","H1-10","H1.10 linker histone"
"ENSG00000101856.10","ENSG00000101856.10",-0.675782691546131,0.508758064096954,0.0471878203167859,"30","367","1.96557080972269",0.530718917710197,0.0191038175541747,"ENSG00000101856","PGRMC1","progesterone receptor membrane component 1"
"ENSG00000135046.14","ENSG00000135046.14",-1.52081553435524,0.21853359260697,0.0348684224304762,"3","394","4.57595552276709",0.508776833631485,0.00802275022636269,"ENSG00000135046","ANXA1","annexin A1"
"ENSG00000161055.4","ENSG00000161055.4",-1.13638028546243,0.320978773096962,0.0293660540235853,"11","386","3.11547081556673",0.522808586762075,0.0157800453547351,"ENSG00000161055","SCGB3A1","secretoglobin family 3A member 1"
"ENSG00000162078.11","ENSG00000162078.11",-1.09083965326585,0.33593430691587,0.00603883220085312,"15","382","2.97677248025292",0.545141994633274,0.021130769588484,"ENSG00000162078","ZG16B","zymogen granule protein 16B"
"ENSG00000144381.18","ENSG00000144381.18",2.69894474227182,14.8640380548665,4.31433414946965e-07,"392","5","0.067276469308594",0.53259168157424,0.0160265953972522,"ENSG00000144381","HSPD1","heat shock protein family D (Hsp60) member 1"
