"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000064195.7","ENSG00000064195.7",-1.46254302818454,0.231646441636609,0.0413680569821327,"140","257","4.3169236399009",0.602884615384615,0.103105250551182,"ENSG00000064195","DLX3","distal-less homeobox 3"
"ENSG00000170264.13","ENSG00000170264.13",2.3401394073604,10.3826838844,0.00764315165031416,"390","7","0.0963142103847059",0.610897435897436,0.0981284151019188,"ENSG00000170264","FAM161A","FAM161 centrosomal protein A"
"ENSG00000223959.8","ENSG00000223959.8",1.87051604148754,6.49164549347363,0.0084063433883775,"300","97","0.154044148129369",0.760897435897436,0.0815485671152008,"ENSG00000223959",NA,NA
"ENSG00000260744.1","ENSG00000260744.1",2.35634059823273,10.5522657324385,0.0299367250952445,"388","9","0.0947663777008494",0.609935897435897,0.0974277510549182,"ENSG00000260744",NA,NA
"ENSG00000146352.13","ENSG00000146352.13",-3.41500586246755,0.0328762139652109,0.00227057419788115,"3","394","30.4171277464669",0.61474358974359,0.0982742054644451,"ENSG00000146352","CLVS2","clavesin 2"
"ENSG00000137960.6","ENSG00000137960.6",-1.69820614793321,0.183011525374893,0.0407303322134105,"14","383","5.46413674194308",0.600320512820513,0.0988085626682785,"ENSG00000137960","GIPC2","GIPC PDZ domain containing family member 2"
"ENSG00000089775.12","ENSG00000089775.12",2.92867777372333,18.7028846949103,0.00757576607348612,"393","4","0.0534676878092573",0.613141025641026,0.0983495035155247,"ENSG00000089775","ZBTB25","zinc finger and BTB domain containing 25"
"ENSG00000158104.11","ENSG00000158104.11",-1.56954841248304,0.208139154180991,0.0195895228414625,"85","312","4.80447806149166",0.714102564102564,0.0936464879181976,"ENSG00000158104","HPD","4-hydroxyphenylpyruvate dioxygenase"
"ENSG00000069424.15","ENSG00000069424.15",2.16132121771093,8.68260169068532,0.0422441897027966,"210","187","0.115172852058018",0.678846153846154,0.0790179468485322,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"ENSG00000142396.10","ENSG00000142396.10",1.69338814511895,5.43787383392898,0.0361660202517031,"244","153","0.183895402971768",0.725320512820513,0.0672231930410575,"ENSG00000142396","ERVK3-1","endogenous retrovirus group K3 member 1"
"ENSG00000207713.3","ENSG00000207713.3",2.80990810442908,16.6083919110007,0.012003325792438,"391","6","0.0602105252187386",0.611858974358974,0.0983847614147753,"ENSG00000207713","MIR200C","microRNA 200c"
"ENSG00000255248.9","ENSG00000255248.9",-4.05046994630515,0.017414188982465,0.000298769712958059,"2","395","57.4244371074036",0.616346153846154,0.0981766316948147,"ENSG00000255248","MIR100HG","mir-100-let-7a-2-mir-125b-1 cluster host gene"
"ENSG00000271746.1","ENSG00000271746.1",-1.68794187528183,0.184899679255585,0.0189238252063767,"138","259","5.40833820818969",0.754487179487179,0.065741063394437,"ENSG00000271746",NA,NA
"ENSG00000253477.5","ENSG00000253477.5",2.68924424398589,14.7205465738328,0.0134458676081036,"392","5","0.0679322601905013",0.613141025641026,0.0979177685434584,"ENSG00000253477",NA,NA
"ENSG00000201544.1","ENSG00000201544.1",1.76413700522972,5.8365332863498,0.0128718630662674,"300","97","0.171334583551293",0.677564102564103,0.0978867087214963,"ENSG00000201544","SNORA16B","small nucleolar RNA, H/ACA box 16B"
